id,cuenta_id,monto,fecha,esFraudulenta,metodoPago
0,784,5650.64,2023-09-08 16:46:52,True,Tarjeta
1,255,7739.77,2023-10-20 06:52:12,True,Transferencia
2,983,1403.47,2023-11-28 21:03:52,False,Transferencia
3,583,7702.75,2023-11-29 13:48:17,True,Tarjeta
4,451,5397.96,2023-10-23 23:18:47,True,Transferencia
5,1215,2779.5,2023-08-29 20:46:22,True,Tarjeta
6,727,1763.23,2023-08-12 02:29:07,True,Efectivo
7,1482,1405.56,2023-05-23 20:43:14,True,Efectivo
8,87,5398.07,2023-05-07 10:28:10,True,Transferencia
9,197,9245.38,2024-02-18 12:00:29,True,Tarjeta
10,1184,3771.98,2023-03-23 15:21:57,False,Tarjeta
11,1307,4999.69,2023-07-27 18:55:44,False,Transferencia
12,1306,8225.54,2023-09-02 03:37:49,False,Tarjeta
13,1157,5276.09,2023-07-12 16:57:40,False,Efectivo
14,93,64.79,2023-10-13 21:49:46,True,Efectivo
15,1279,8949.24,2023-08-15 00:50:14,False,Transferencia
16,169,7811.55,2023-06-15 23:42:26,False,Efectivo
17,355,9997.23,2024-01-01 18:56:59,False,Efectivo
18,261,5478.15,2024-03-11 14:01:16,False,Efectivo
19,912,832.67,2023-12-01 04:10:17,False,Efectivo
20,455,1588.63,2023-07-04 03:22:19,False,Efectivo
21,528,5167.21,2024-01-04 14:35:48,True,Tarjeta
22,799,7045.46,2023-09-03 21:30:00,True,Transferencia
23,72,5262.8,2024-02-10 15:47:55,True,Efectivo
24,176,2252.61,2023-09-29 03:32:41,False,Tarjeta
25,823,9793.61,2024-01-24 11:56:51,False,Tarjeta
26,139,2805.08,2024-01-11 21:16:32,False,Transferencia
27,1285,6301.46,2023-09-17 21:16:23,True,Transferencia
28,787,4943.13,2023-09-18 10:26:21,False,Efectivo
29,489,4300.38,2023-05-27 17:24:23,False,Efectivo
30,1290,8435.37,2023-08-13 02:36:23,False,Efectivo
31,1357,4795.21,2023-03-21 20:28:48,True,Efectivo
32,1436,6054.57,2024-03-13 07:27:44,False,Transferencia
33,525,3647.21,2023-05-23 22:09:29,True,Transferencia
34,804,9959.2,2024-01-09 23:17:50,True,Tarjeta
